ingredient_key,what_is_it,why_used,fun_fact,risk_label_human,health_impact_human,risk_label_dog,health_impact_dog,risk_label_cat,health_impact_cat,source
palm_kernel_oil,"An oil extracted from the seeds of the oil palm fruit.","It is used to improve texture and make products creamy, stable, and longer-lasting.","Palm oil is one of the most widely used ingredients in the world — it’s in everything from cookies to cosmetics.","caution","Common in processed foods and safe in small amounts, but often linked to highly processed products and environmental concerns.","caution","Not toxic for dogs, but high fat content can be hard to digest and may contribute to weight gain.","caution","Not toxic for cats, but offers little nutritional value and is mainly used for texture.","HealthyWhooo profile v1"
milk_proteins,"Proteins naturally found in milk, such as casein and whey.","They are used to improve nutritional value and texture in dairy and processed foods.","Milk proteins are often added to boost protein content in snacks and drinks.","safe","Good source of protein for most people unless there is lactose intolerance or allergy.","safe","Generally safe for dogs in small amounts, especially in pet food formulas.","caution","Cats can digest some milk proteins, but many are lactose intolerant, so dairy-based ingredients may cause issues.","HealthyWhooo profile v1"
brilliant_blue_fcf,"A synthetic blue food coloring also known as E133.","It is used to give food and drinks a bright, eye-catching blue color.","Bright blue food doesn’t exist much in nature — that’s why this color is almost always artificial.","caution","Approved for use, but some people prefer to avoid artificial colorings in highly processed foods.","safe","Generally considered safe for dogs in small amounts, but has no nutritional value.","safe","Generally considered safe for cats in very small amounts, but used only for appearance.","HealthyWhooo profile v1"
flavourings,"A mix of natural or artificial substances that give food its smell and taste.","They are used to enhance or imitate flavors, making products more appealing.","“Natural flavor” doesn’t always mean simple — it can still be a complex mix of many compounds.","caution","Usually safe, but often unclear what exactly is included, which can reduce transparency.","caution","Generally safe for dogs in small amounts, but composition is often unspecified.","caution","Generally safe for cats in small amounts, but lacks transparency and nutritional value.","HealthyWhooo profile v1"
e472a,"An emulsifier made from fatty acids that helps ingredients mix together smoothly.","It is used to improve texture and keep food stable and evenly mixed.","Emulsifiers like this are the reason your food doesn’t separate into layers.","caution","Considered safe, but typically found in processed foods.","safe","Generally safe for dogs in small amounts and mainly used for texture.","safe","Generally safe for cats in small amounts and has no direct health effect.","HealthyWhooo profile v1"
sugar,"A simple carbohydrate used to sweeten food and drinks.","It is added to improve taste and increase product appeal.","Sugar can appear under many different names, making it harder to recognize on labels.","caution","Fine in small amounts, but high intake is linked to many health issues.","caution","Not toxic for dogs, but unnecessary and can contribute to obesity and dental problems.","caution","Not needed in a cat’s diet and offers no nutritional benefit.","HealthyWhooo profile v1"
whey_powder,"A dairy by-product obtained during cheese production.","It is used to add flavor, protein, and improve texture in foods.","Whey was once considered waste — now it’s widely used in food and supplements.","safe","Provides protein, but may cause issues for people with lactose intolerance.","safe","Generally safe for dogs in small amounts and often used in pet food.","caution","Cats may have trouble digesting dairy components, so tolerance can vary.","HealthyWhooo profile v1"
modified_starch,"A starch that has been physically or chemically altered to change its behavior.","It is used to thicken, stabilize, and improve the texture of food.","Despite the name, modified starch is not necessarily harmful — it just behaves differently than regular starch.","caution","Generally safe, but indicates a more processed product.","safe","Safe for dogs in small amounts and commonly used in pet food.","safe","Safe for cats in small amounts and mainly affects texture.","HealthyWhooo profile v1"
skimmed_milk_powder,"Milk that has had most of its fat removed and then dried into powder form.","It is used to add milk flavor and nutrients without extra fat.","Powdered milk lasts much longer than fresh milk, which makes it useful in many products.","safe","Good source of protein and nutrients, but may cause issues for lactose-intolerant individuals.","safe","Generally safe for dogs in small amounts.","caution","Many cats are lactose intolerant, so this ingredient may cause digestive discomfort.","HealthyWhooo profile v1"
turmeric,"A yellow spice made from the root of the turmeric plant.","It is used for color, flavor, and sometimes for its perceived health properties.","Turmeric has been used for centuries in cooking and traditional medicine.","safe","Generally safe and often associated with anti-inflammatory properties.","safe","Safe for dogs in small amounts and sometimes used in pet diets.","safe","Safe for cats in small amounts, but not essential.","HealthyWhooo profile v1"
guar_gum,"A thickening agent made from guar beans.","It is used to improve texture and keep ingredients evenly mixed.","Guar gum can absorb many times its weight in water, which helps create creamy textures.","caution","Usually tolerated well, but some people prefer to limit gums in processed foods.","caution","Generally safe for dogs, but large amounts may affect digestion.","caution","Generally safe for cats in small amounts, but excessive intake may cause digestive issues.","HealthyWhooo profile v1"
xanthan_gum,"A thickener created through natural fermentation using bacteria.","It helps food become thicker and keeps ingredients evenly mixed.","Xanthan gum is widely used in gluten-free products because it helps replace the texture of gluten.","caution","Generally considered safe, but often found in processed foods and sometimes avoided by people sensitive to gums.","caution","Usually safe for dogs in small amounts, but large amounts may cause digestive discomfort.","caution","Usually safe for cats in small amounts, but too much may be harder to digest.","HealthyWhooo profile v1"
pectins,"A natural thickener found in fruits like apples and citrus peels.","It helps jams, desserts, and fillings set and keep their shape.","Pectin is what makes jam thick without needing artificial chemicals.","safe","Naturally occurring and generally safe, often seen as a more “natural” thickening option.","safe","Safe for dogs and sometimes even used to support digestion in small amounts.","safe","Safe for cats in small amounts and generally easy to tolerate.","HealthyWhooo profile v1"
mono_diglycerides,"Processed fats that help water and oil stay mixed in food.","They improve texture and keep products soft, smooth, and stable.","These ingredients are often made from vegetable oils but go through multiple processing steps.","caution","Generally safe, but highly processed and commonly found in industrial food products.","safe","Usually safe for dogs in small amounts and mainly used to improve texture.","safe","Usually safe for cats in small amounts and has no direct nutritional benefit.","HealthyWhooo profile v1"
citric_esters_mono_diglycerides,"An emulsifier made from fats combined with citric acid.","It helps keep food smooth and prevents ingredients from separating.","Despite the complex name, its job is simple: keeping food from falling apart.","caution","Considered safe, but typically found in processed foods and not needed in simple diets.","safe","Usually safe for dogs in small amounts and mainly affects texture.","safe","Usually safe for cats in small amounts and used only for stability.","HealthyWhooo profile v1"
pgpr,"A highly processed emulsifier used mainly in chocolate.","It makes chocolate smoother, thinner, and easier to work with during production.","Without ingredients like PGPR, your chocolate bar might feel thicker and less smooth — it’s part of what gives chocolate that melt-in-your-mouth texture.","caution","Generally considered safe in small amounts, but it is a highly processed additive.","safe","Usually safe for dogs in very small amounts, but mainly adds texture, not nutrition.","safe","Usually safe for cats in small amounts and has no nutritional value.","HealthyWhooo profile v1"
sodium_carbonates,"A group of mineral salts commonly used in baking, including baking soda.","They help dough rise and create light, fluffy textures in baked goods.","These ingredients are behind the bubbles that make cakes soft and airy.","safe","Generally safe and widely used in everyday cooking and baking.","safe","Safe for dogs in small food amounts.","safe","Safe for cats in small food amounts and not harmful in typical use.","HealthyWhooo profile v1"
monosodium_glutamate,"A flavour enhancer that boosts savory taste, also known as MSG.","It makes food taste richer, deeper, and more “umami”.","MSG has been controversial for years, but most scientific reviews consider it safe in normal amounts.","caution","Generally safe, but some people report sensitivity or prefer to avoid it.","safe","Usually safe for dogs in small amounts, but adds flavor rather than nutrition.","safe","Usually safe for cats in small amounts and mainly enhances taste.","HealthyWhooo profile v1"
acesulfame_k,"A very strong artificial sweetener that adds sweetness without sugar.","It is used in diet drinks and low-sugar foods to replace sugar.","Acesulfame K is much sweeter than sugar, so only tiny amounts are needed.","caution","Approved for use, but often avoided by people who prefer fewer artificial sweeteners.","caution","Not toxic for dogs, but offers no benefit and is not recommended in regular diets.","caution","Not useful for cats and adds no nutritional value.","HealthyWhooo profile v1"
aspartame,"A low-calorie artificial sweetener used in many diet products.","It replaces sugar to reduce calories while keeping sweetness.","Aspartame is one of the most debated food ingredients, even though it is approved by regulators.","caution","Considered safe in regulated amounts, but still widely debated.","caution","Not beneficial for dogs and should not be a regular part of their diet.","caution","Not useful for cats and adds no nutritional value.","HealthyWhooo profile v1"
cyclamates,"A group of artificial sweeteners used to add sweetness without calories.","They are often used in tabletop sweeteners and diet products.","Cyclamates were once banned in some countries, which still makes them a topic of debate today.","caution","Approved in many regions, but often avoided by people who prefer more natural options.","caution","Not toxic for dogs in small amounts, but unnecessary and not recommended.","caution","Not useful for cats and offers no nutritional value.","HealthyWhooo profile v1"
isomalt,"A sugar alcohol used as a low-calorie sweetener.","It provides sweetness with fewer calories than regular sugar.","Isomalt is often used in sugar-free candies and can create that slightly “cooling” taste.","caution","Generally safe, but large amounts can cause digestive discomfort.","caution","Not toxic for dogs, but can cause stomach upset if eaten in larger amounts.","caution","Not needed for cats and may affect digestion if consumed in larger amounts.","HealthyWhooo profile v1"
saccharin,"A very strong artificial sweetener used to replace sugar.","It adds sweetness without adding calories.","Saccharin is one of the oldest artificial sweeteners still in use today.","caution","Approved for use, but often avoided by people who prefer fewer artificial ingredients.","caution","Not toxic for dogs, but provides no benefit and is best limited.","caution","Not useful for cats and has no nutritional role.","HealthyWhooo profile v1"
sucralose,"A high-intensity sweetener made from sugar through chemical processing.","It keeps food sweet without adding much energy.","Sucralose stays sweet even when heated, which makes it useful in baking.","caution","Considered safe, but often avoided by people reducing artificial sweeteners.","caution","Not toxic for dogs in small amounts, but unnecessary and not recommended.","caution","Not useful for cats and offers no nutritional benefit.","HealthyWhooo profile v1"
steviol_glycosides,"A sweetener extracted from the stevia plant.","It provides sweetness without regular sugar.","Stevia-based sweeteners can be many times sweeter than sugar, even in tiny amounts.","caution","Often seen as a more natural option, but taste and tolerance vary.","safe","Generally safe for dogs in small amounts.","safe","Generally safe for cats in small amounts, though not nutritionally needed.","HealthyWhooo profile v1"
maltitols,"A group of sugar alcohol sweeteners used to replace regular sugar.","They add sweetness with fewer calories and are often used in sugar-free products.","Maltitols are common in “sugar-free” chocolate — but eating too much can still have noticeable effects.","caution","Generally safe, but large amounts can cause bloating or digestive discomfort.","caution","Not toxic for dogs, but may cause stomach upset and offers no real benefit.","caution","Not needed in a cat’s diet and may affect digestion if consumed in larger amounts.","HealthyWhooo profile v1"
erythritol,"A low-calorie sugar alcohol used as a sweetener.","It provides sweetness without regular sugar and is popular in low-carb products.","Erythritol is often better tolerated than other sugar alcohols, but too much can still upset digestion.","caution","Generally safe, but large amounts may cause digestive discomfort.","caution","Not toxic for dogs in small amounts, but unnecessary and may upset digestion.","caution","Not useful for cats and offers no nutritional benefit.","HealthyWhooo profile v1"
ascorbic_acid,"A form of vitamin C used in food.","It helps keep products fresh and can support stability in food processing.","Despite its technical name, this is simply vitamin C — something your body actually needs.","safe","Generally safe and even beneficial as a vitamin in normal amounts.","safe","Safe for dogs and sometimes included in pet food for stability.","safe","Safe for cats in small amounts and not harmful in typical use.","HealthyWhooo profile v1"
sodium_ascorbate,"A sodium-based form of vitamin C.","It helps keep food fresh and stable, especially in processed products.","It’s basically vitamin C with a slight chemical twist to make it easier to use in food.","safe","Generally safe and functions similarly to vitamin C.","safe","Safe for dogs in small amounts and commonly used in food processing.","safe","Safe for cats in small amounts and not harmful.","HealthyWhooo profile v1"
tocopherol_extract,"A natural antioxidant related to vitamin E.","It protects fats and oils from going bad.","Tocopherols are often used as a more “natural” alternative to synthetic preservatives.","safe","Generally safe and often seen as a positive additive compared to synthetic options.","safe","Safe for dogs and sometimes used to preserve pet food naturally.","safe","Safe for cats and commonly used to protect fats in food.","HealthyWhooo profile v1"
bha,"A synthetic antioxidant used to keep fats from spoiling.","It helps extend shelf life in processed foods.","BHA has been debated for years, which is why many people prefer to limit it.","caution","Approved for use, but often limited by people trying to avoid synthetic additives.","caution","Allowed in pet food, but many prefer to limit synthetic preservatives.","caution","Used in some pet foods, but often avoided in more premium diets.","HealthyWhooo profile v1"
bht,"A synthetic antioxidant similar to BHA.","It prevents fats from going rancid and extends shelf life.","BHT is often mentioned together with BHA in discussions about food additives.","caution","Approved, but often limited by people avoiding synthetic preservatives.","caution","Used in pet food, but many owners prefer more natural alternatives.","caution","Common in some pet foods, but often avoided in higher-quality diets.","HealthyWhooo profile v1"
sorbic_acid,"A preservative that stops mold and yeast from growing.","It helps food stay safe and last longer.","Without preservatives like this, many foods would spoil much faster.","caution","Generally safe, but some people prefer fewer preservatives in their diet.","safe","Safe for dogs in small amounts and commonly used in food preservation.","safe","Safe for cats in small amounts and helps prevent spoilage.","HealthyWhooo profile v1"
potassium_sorbate,"A widely used preservative that prevents mold and yeast.","It extends the shelf life of many packaged foods.","It is one of the most common preservatives you’ll find on food labels.","caution","Approved for use, but often limited by people seeking less processed food.","safe","Safe for dogs in small amounts and commonly used in food products.","safe","Safe for cats in small amounts and helps keep food fresh.","HealthyWhooo profile v1"
benzoic_acid,"A preservative used to slow down the growth of bacteria, yeast, and mold.","It helps food and drinks stay fresh for longer.","It works best in acidic foods like soft drinks and fruit products.","caution","Generally safe, but many people prefer fewer preservatives in everyday food.","safe","Safe for dogs in small amounts and mainly used to prevent spoilage.","safe","Safe for cats in small amounts and helps keep food stable.","HealthyWhooo profile v1"
sodium_benzoate,"A preservative made from benzoic acid, commonly used in drinks.","It helps prevent spoilage and keeps products safe to consume longer.","It is especially common in soft drinks, sauces, and packaged foods.","caution","Approved for use, but often limited by people trying to reduce processed additives.","safe","Safe for dogs in small amounts and used to preserve food.","safe","Safe for cats in small amounts and helps prevent spoilage.","HealthyWhooo profile v1"
sulphur_dioxide,"A preservative gas used to protect food from spoilage and discoloration.","It helps keep foods like dried fruit and wine looking fresh and stable.","Some people are sensitive to sulphites, which is why this ingredient is often highlighted on labels.","caution","Generally safe, but can cause reactions in sensitive individuals.","caution","Usually safe for dogs in small amounts, but not needed in fresh diets.","caution","Usually safe for cats in small amounts, though unnecessary in most diets.","HealthyWhooo profile v1"
sodium_nitrite,"A curing agent used in processed meats.","It preserves meat and keeps its pink color.","Without it, many processed meats would look grey instead of pink.","caution","Often recommended to limit because it is linked to processed meat consumption.","caution","Used in some pet foods, but generally better limited in frequent diets.","caution","Not ideal for regular consumption in cats and often limited in higher-quality diets.","HealthyWhooo profile v1"
sodium_nitrate,"A preservative used in curing and preserving meats.","It helps extend shelf life and supports the curing process.","It can convert into other compounds during processing or digestion.","caution","Often limited due to its link with processed meat products.","caution","Not toxic for dogs in small amounts, but not ideal for regular consumption.","caution","Not recommended in frequent cat diets and mainly used in processed foods.","HealthyWhooo profile v1"
acetic_acid,"The main acid found in vinegar.","It adds a sour taste and helps preserve food.","This “chemical” name is actually just vinegar in disguise.","safe","Generally safe and commonly used in everyday foods.","safe","Safe for dogs in small amounts and often found in food.","safe","Safe for cats in small amounts and not harmful in typical use.","HealthyWhooo profile v1"
lactic_acid,"An acid naturally produced during fermentation.","It helps control acidity and preserve food.","It is the same process that gives yogurt and fermented foods their characteristic taste.","safe","Generally safe and naturally present in many foods.","safe","Safe for dogs and sometimes used in food processing.","safe","Safe for cats and not harmful in typical amounts.","HealthyWhooo profile v1"
carbon_dioxide,"A gas used to create bubbles in drinks or protect food in packaging.","It adds fizz to drinks and helps extend shelf life.","It’s the same gas that makes sparkling water bubbly.","safe","Generally safe and widely used in drinks and packaging.","safe","Safe for dogs in small amounts, though fizzy drinks are not recommended.","safe","Safe for cats in small amounts, but fizzy products are not suitable for them.","HealthyWhooo profile v1"
phosphoric_acid,"An acid commonly used in soft drinks, especially cola.","It adds a sharp, tangy taste and helps control acidity.","It is one of the reasons cola has its distinctive flavor.","caution","Generally safe, but often limited in highly processed drinks.","caution","Not toxic for dogs in small amounts, but not recommended in regular diets.","caution","Not useful for cats and offers no nutritional benefit.","HealthyWhooo profile v1"
rosemary_extract,"A plant-based extract used as a natural antioxidant.","It helps protect fats and oils from going bad.","Even though it comes from rosemary, it is used more for preservation than flavor.","safe","Generally safe and often seen as a more natural alternative to synthetic preservatives.","safe","Safe for dogs and sometimes used in higher-quality pet food.","safe","Safe for cats and commonly used to protect food freshness.","HealthyWhooo profile v1"
sorbitols,"A group of sugar alcohol sweeteners used instead of regular sugar.","They add sweetness and help keep products moist.","Sorbitol is often used in “sugar-free” products — but that doesn’t mean you can eat unlimited amounts.","caution","Generally safe, but large amounts can cause bloating or digestive discomfort.","caution","Not toxic for dogs, but can cause stomach upset and has no real benefit.","caution","Not needed in a cat’s diet and may affect digestion if consumed in larger amounts.","HealthyWhooo profile v1"
mannitol,"A sugar alcohol used as a sweetener and to add structure to food.","It helps create sweetness and improve texture in sugar-free products.","Mannitol is sometimes used as a coating in sweets because it creates a slightly cooling sensation.","caution","Generally safe, but large amounts may lead to digestive discomfort.","caution","Not toxic for dogs, but may upset digestion and is not nutritionally useful.","caution","Not useful for cats and may cause digestive discomfort in larger amounts.","HealthyWhooo profile v1"
glycerol,"A syrup-like ingredient that helps food stay soft and moist.","It prevents products from drying out and improves texture.","Glycerol is also used in skincare — it’s great at holding onto moisture.","safe","Generally safe and commonly used in many foods.","safe","Safe for dogs in small amounts and mainly used to maintain texture.","safe","Safe for cats in small amounts and helps keep food moist.","HealthyWhooo profile v1"
polysorbate_80,"A processed emulsifier that helps oil and water stay mixed.","It keeps food smooth, stable, and evenly blended.","Polysorbate 80 is widely used in processed foods, sauces, and desserts.","caution","Approved for use, but often avoided by people limiting highly processed additives.","caution","Usually safe for dogs in small amounts, but mainly adds texture, not nutrition.","caution","Usually safe for cats in small amounts, but unnecessary in a simple diet.","HealthyWhooo profile v1"
polysorbate_40,"An emulsifier used to keep food smooth and evenly mixed.","It improves texture and prevents ingredients from separating.","It belongs to a group of additives designed to make processed foods more stable.","caution","Considered safe, but typically found in more processed products.","caution","Usually safe for dogs in small amounts, but has no nutritional value.","caution","Usually safe for cats in small amounts and mainly affects texture.","HealthyWhooo profile v1"
polysorbate_60,"An emulsifier that helps create smooth and creamy textures.","It keeps ingredients blended together in processed foods.","It is commonly used in products like ice cream to improve consistency.","caution","Generally safe, but often limited in diets focused on less processed foods.","caution","Usually safe for dogs in small amounts and mainly used for texture.","caution","Usually safe for cats in small amounts and not nutritionally relevant.","HealthyWhooo profile v1"
polysorbate_65,"A less common emulsifier used to stabilize processed foods.","It helps maintain texture and prevent separation of ingredients.","It is part of the same family as other polysorbates, which are widely used in food production.","caution","Approved for use, but associated with more processed foods.","caution","Usually safe for dogs in small amounts, but not nutritionally needed.","caution","Usually safe for cats in small amounts and mainly affects texture.","HealthyWhooo profile v1"
agar,"A natural thickener made from seaweed.","It is used to create gels, jellies, and plant-based desserts.","Agar is a popular vegan alternative to gelatin and has been used in Asian cuisine for centuries.","safe","Generally safe and often seen as a more natural thickening option.","safe","Safe for dogs in small amounts and sometimes used in food.","safe","Safe for cats in small amounts and easy to tolerate.","HealthyWhooo profile v1"
locust_bean_gum,"A thickener made from the seeds of the carob tree.","It helps food stay creamy and improves texture.","It is commonly used in ice cream to prevent ice crystals and keep it smooth.","caution","Generally safe, but often associated with processed foods.","safe","Usually safe for dogs in small amounts and helps improve texture.","safe","Usually safe for cats in small amounts, though excessive intake may affect digestion.","HealthyWhooo profile v1"
gum_arabic,"A natural gum from acacia trees used as a stabilizer.","It helps keep ingredients mixed and improves texture in drinks and sweets.","It has been used in food for centuries, making it one of the oldest additives.","safe","Generally safe and often considered a more natural additive.","safe","Safe for dogs in small amounts and commonly used in food.","safe","Safe for cats in small amounts and well tolerated.","HealthyWhooo profile v1"
gellan_gum,"A thickener made through fermentation using natural bacteria.","It helps create smooth textures and stable gels in food.","Gellan gum is often used in plant-based milks to keep everything evenly mixed.","caution","Generally safe, but often found in processed foods.","safe","Safe for dogs in small amounts and mainly used for texture.","safe","Safe for cats in small amounts and helps stabilize food.","HealthyWhooo profile v1"
tara_gum,"A plant-based thickener made from tara tree seeds.","It improves texture and helps food stay smooth and stable.","It works similarly to guar gum, but comes from a different plant source.","caution","Generally safe, but often associated with processed foods.","safe","Safe for dogs in small amounts and helps improve texture.","safe","Safe for cats in small amounts and usually well tolerated.","HealthyWhooo profile v1"
karaya_gum,"A natural gum extracted from tree sap.","It is used to thicken and stabilize food products.","It expands when it absorbs water, which helps create thicker textures.","caution","Generally safe, but not commonly used in simple, unprocessed foods.","safe","Safe for dogs in small amounts and mainly affects texture.","safe","Safe for cats in small amounts and usually well tolerated.","HealthyWhooo profile v1"
tragacanth,"A natural gum obtained from plant sap.","It helps keep ingredients evenly mixed and improves texture.","It has been used in food and medicine for centuries.","caution","Generally safe, but mostly found in processed or specialty foods.","safe","Safe for dogs in small amounts and mainly used for texture.","safe","Safe for cats in small amounts and well tolerated.","HealthyWhooo profile v1"
alginate_sodium,"A thickener derived from seaweed.","It forms gels and helps stabilize mixtures.","It is widely used in modern cooking, including molecular gastronomy.","safe","Generally safe and often considered a natural thickener.","safe","Safe for dogs in small amounts and commonly used in food.","safe","Safe for cats in small amounts and well tolerated.","HealthyWhooo profile v1"
alginate_potassium,"A seaweed-based thickener similar to sodium alginate.","It helps stabilize and gel food products.","It works in similar ways to other alginates, just with a different mineral base.","safe","Generally safe and used in a variety of food products.","safe","Safe for dogs in small amounts and mainly used for texture.","safe","Safe for cats in small amounts and not harmful.","HealthyWhooo profile v1"
alginate_calcium,"A gel-forming additive made from seaweed.","It creates firmer textures and helps shape foods.","It is often used to create small gel-like spheres in modern cuisine.","safe","Generally safe and often seen as a more natural additive.","safe","Safe for dogs in small amounts and mainly affects texture.","safe","Safe for cats in small amounts and well tolerated.","HealthyWhooo profile v1"
propane_glycol_alginate,"A modified thickener based on seaweed alginates.","It improves stability and texture in processed foods.","This version is more processed than natural alginates, which makes it more stable in different conditions.","caution","Approved for use, but more processed than natural alternatives.","safe","Usually safe for dogs in small amounts, but not nutritionally needed.","safe","Usually safe for cats in small amounts and mainly affects texture.","HealthyWhooo profile v1"
processed_eucheuma,"A processed seaweed ingredient similar to carrageenan.","It helps create smooth, creamy textures in food.","It is often discussed together with carrageenan due to similar origins and effects.","caution","Generally safe, but sometimes debated in digestion-related discussions.","caution","Often used in pet food and usually tolerated, but some sensitive animals may react.","caution","Common in pet food, but some cats may have sensitive digestion.","HealthyWhooo profile v1"
beta_cyclodextrin,"A modified starch structure used to trap and stabilize ingredients.","It helps protect flavors and nutrients inside food.","It works like a tiny molecular “cage” that holds flavors until they are released.","caution","Generally safe, but more technical and processed than basic ingredients.","safe","Safe for dogs in small amounts and mainly used for stability.","safe","Safe for cats in small amounts and has no direct nutritional role.","HealthyWhooo profile v1"
curdlan,"A thickener created through natural fermentation.","It forms firm, gel-like textures in food.","Curdlan can turn liquids into solid gels without needing heat.","caution","Generally safe, but mostly found in processed or specialized foods.","safe","Safe for dogs in small amounts and mainly used for texture.","safe","Safe for cats in small amounts and well tolerated.","HealthyWhooo profile v1"
soybean_hemicellulose,"A plant fiber extracted from soybeans.","It is used to stabilize food and improve texture.","It’s basically a type of plant fiber repurposed to make food more consistent.","caution","Generally safe, but mainly used in processed products.","safe","Safe for dogs in small amounts and may support digestion as fiber.","safe","Safe for cats in small amounts and usually well tolerated.","HealthyWhooo profile v1"
cassia_gum,"A thickener made from cassia plant seeds.","It helps food stay smooth and stable, especially in dairy products.","Cassia gum is often combined with other gums to improve texture.","caution","Generally safe, but often associated with processed foods.","safe","Safe for dogs in small amounts and mainly affects texture.","safe","Safe for cats in small amounts and well tolerated.","HealthyWhooo profile v1"
polydextrose,"A synthetic fiber used to add bulk and improve texture.","It is often used in low-sugar and diet products.","Even though it’s called fiber, it’s specially designed in a lab to behave in a certain way.","caution","Generally safe, but large amounts may cause digestive discomfort.","caution","Not toxic for dogs, but may upset digestion and is not nutritionally needed.","caution","Not useful for cats and may affect digestion in larger amounts.","HealthyWhooo profile v1"
pullulan,"A natural substance made through fermentation.","It is used to create thin edible films and coatings.","Pullulan is used to make some edible capsules and food coatings.","safe","Generally safe and often seen as a more natural additive.","safe","Safe for dogs in small amounts and mainly used for structure.","safe","Safe for cats in small amounts and well tolerated.","HealthyWhooo profile v1"
polyvinylpyrrolidone,"A synthetic stabilizer used in food and beverages.","It helps keep mixtures stable and improves processing.","This ingredient is also used in medicine, which shows how versatile it is.","caution","Approved for use, but highly processed and not a typical everyday ingredient.","caution","Usually safe for dogs in small amounts, but not nutritionally useful.","caution","Usually safe for cats in small amounts and mainly used for stability.","HealthyWhooo profile v1"
